identifier,display_name,relative_path,deps
5.0.0_pre.0 scalar_lemmas/u64/serial/backend/lemma_bound_scalar,lemma_bound_scalar,src/backend/serial/u64/scalar_lemmas.rs,5.0.0_pre.0 scalar_lemmas/u64/serial/backend/lemma_general_bound; 5.0.0_pre.0 scalar_specs/u64/serial/backend/to_nat; 5.0.0_pre.0 scalar_specs/u64/serial/backend/limbs_bounded; power2/arithmetic/pow2
power2/arithmetic/lemma2_to64,lemma2_to64,src/backend/serial/u64/scalar_lemmas.rs,
core https:/github.com/rust_lang/rust/library/core impls/cmp/Ord/cmp,cmp,src/backend/serial/scalar_mul/vartime_double_base.rs,
5.0.0_pre.0 field_verus/u64/serial/backend/FieldElement51/from_limbs,from_limbs,src/backend/serial/u64/field_verus.rs,
5.0.0_pre.0 curve_models/serial/backend/ProjectiveNielsPoint/ConditionallySelectable/conditional_assign,conditional_assign,src/backend/serial/curve_models/mod.rs,5.0.0_pre.0 field/u64/serial/backend/FieldElement51/ConditionallySelectable/conditional_assign; ConditionallySelectable
5.0.0_pre.0 window/NafLookupTable8/From/from,from,src/window.rs,5.0.0_pre.0 edwards/EdwardsPoint/as_affine_niels; 5.0.0_pre.0 edwards/EdwardsPoint/double; 5.0.0_pre.0 curve_models/serial/backend/CompletedPoint/as_extended; core https:/github.com/rust_lang/rust/library/core convert/From; 5.0.0_pre.0 edwards/EdwardsPoint/as_projective_niels
5.0.0_pre.0 ristretto/CompressedRistretto/as_bytes,as_bytes,src/ristretto.rs,
5.0.0_pre.0 field/u64/serial/backend/FieldElement51/square,square,src/field.rs,5.0.0_pre.0 field/u64/serial/backend/FieldElement51/pow2k
5.0.0_pre.0 scalar_specs/u64/serial/backend/limbs_bounded,limbs_bounded,src/backend/serial/u64/scalar_lemmas.rs,
5.0.0_pre.0 edwards/CompressedEdwardsY/from_slice,from_slice,src/edwards.rs,core https:/github.com/rust_lang/rust/library/core result/Result/map; 5.0.0_pre.0 traits/Identity; core https:/github.com/rust_lang/rust/library/core convert/TryInto/try_into
5.0.0_pre.0 scalar/u64/serial/backend/Scalar52/square_internal,square_internal,src/backend/serial/u64/scalar.rs,5.0.0_pre.0 scalar_specs/u64/serial/backend/slice128_to_nat; 5.0.0_pre.0 scalar_specs/u64/serial/backend/limbs_bounded; 5.0.0_pre.0 scalar_specs/u64/serial/backend/to_nat; 5.0.0_pre.0 scalar/u64/serial/backend/m; 5.0.0_pre.0 scalar_lemmas/u64/serial/backend/lemma_square_internal_no_overflow; 5.0.0_pre.0 scalar_lemmas/u64/serial/backend/lemma_square_internal_correct
core https:/github.com/rust_lang/rust/library/core fmt/Display,Display,build.rs,
5.0.0_pre.0 field_verus/u64/serial/backend/m,m,src/backend/serial/u64/field_verus.rs,5.0.0_pre.0 common_verus/u64/serial/backend/mul_le
core https:/github.com/rust_lang/rust/library/core convert/TryFrom,TryFrom,src/ristretto.rs,
5.0.0_pre.0 scalar_lemmas/u64/serial/backend/verify_invert_correct,verify_invert_correct,src/backend/serial/u64/scalar_lemmas.rs,
5.0.0_pre.0 common_verus/u64/serial/backend/lemma_shl_le_u64,lemma_shl_le_u64,src/backend/serial/u64/common_verus.rs,power2/arithmetic/pow2; 5.0.0_pre.0 common_verus/u64/serial/backend/mul_le
5.0.0_pre.0 decompress/edwards/step_2,step_2,src/edwards.rs,5.0.0_pre.0 edwards/CompressedEdwardsY/as_bytes; core https:/github.com/rust_lang/rust/library/core convert/TryFrom; ConditionallyNegatable/conditional_negate; Choice/From/from
5.0.0_pre.0 ristretto/RistrettoPoint/ConditionallySelectable/conditional_select,conditional_select,src/ristretto.rs,5.0.0_pre.0 edwards/EdwardsPoint/ConditionallySelectable/conditional_select; core https:/github.com/rust_lang/rust/library/core fmt/Debug
5.0.0_pre.0 ristretto/RistrettoPoint/compress,compress,src/ristretto.rs,5.0.0_pre.0 field/FieldElement51/is_negative; 5.0.0_pre.0 field/u64/serial/backend/FieldElement51/square; 5.0.0_pre.0 field/FieldElement51/invsqrt; ConditionallyNegatable/conditional_negate; 5.0.0_pre.0 field/u64/serial/backend/FieldElement51/ConditionallySelectable/conditional_assign; 5.0.0_pre.0 field/u64/serial/backend/FieldElement51/to_bytes
5.0.0_pre.0 scalar/u64/serial/backend/Scalar52/mul,mul,src/scalar.rs,5.0.0_pre.0 scalar_specs/u64/serial/backend/limbs_bounded; 5.0.0_pre.0 scalar_specs/u64/serial/backend/group_order; 5.0.0_pre.0 scalar_specs/u64/serial/backend/to_nat; 5.0.0_pre.0 scalar/u64/serial/backend/Scalar52/mul_internal; 5.0.0_pre.0 scalar/u64/serial/backend/Scalar52/montgomery_reduce
5.0.0_pre.0 ristretto/CompressedRistretto/decompress,decompress,src/ristretto.rs,core https:/github.com/rust_lang/rust/library/core convert/Into/into; 5.0.0_pre.0 decompress/ristretto/step_2; 5.0.0_pre.0 decompress/ristretto/step_1
5.0.0_pre.0 edwards/EdwardsPoint/as_affine_niels,as_affine_niels,src/window.rs,5.0.0_pre.0 field/FieldElement51/invert
TryCryptoRng,TryCryptoRng,src/ristretto.rs,
5.0.0_pre.0 ristretto/RistrettoPoint/Debug/fmt,fmt,src/ristretto.rs,5.0.0_pre.0 traits/Identity; 5.0.0_pre.0 decompress/ristretto/step_2; core https:/github.com/rust_lang/rust/library/core marker/Sized; 5.0.0_pre.0 ristretto/RistrettoPoint/coset4; 5.0.0_pre.0 decompress/ristretto/step_1
5.0.0_pre.0 scalar_lemmas/u64/serial/backend/lemma_l_value_properties,lemma_l_value_properties,src/backend/serial/u64/scalar_lemmas.rs,
5.0.0_pre.0 field_lemmas/u64/serial/backend/a0_0_val,a0_0_val,src/backend/serial/u64/field_lemmas.rs,5.0.0_pre.0 field_lemmas/u64/serial/backend/c0_val
core https:/github.com/rust_lang/rust/library/core arith/ops/AddAssign,AddAssign,src/ristretto.rs,
ConditionallySelectable,ConditionallySelectable,src/field.rs,
5.0.0_pre.0 edwards/CompressedEdwardsY/decompress,decompress,src/edwards.rs,5.0.0_pre.0 decompress/edwards/step_1; core https:/github.com/rust_lang/rust/library/core convert/Into/into; 5.0.0_pre.0 decompress/edwards/step_2
5.0.0_pre.0 scalar_lemmas/u64/serial/backend/lemma_empty_seq_as_nat,lemma_empty_seq_as_nat,src/backend/serial/u64/scalar_lemmas.rs,5.0.0_pre.0 scalar_specs/u64/serial/backend/seq_u64_to_nat
5.0.0_pre.0 field_lemmas/u64/serial/backend/a1_0_val,a1_0_val,src/backend/serial/u64/field_lemmas.rs,5.0.0_pre.0 field_lemmas/u64/serial/backend/c1_val
alloc https:/github.com/rust_lang/rust/library/alloc vec/Vec/with_capacity,with_capacity,src/edwards.rs,
5.0.0_pre.0 scalar/Scalar/SubAssign/sub_assign,sub_assign,src/scalar.rs,core https:/github.com/rust_lang/rust/library/core arith/ops/Sub
core https:/github.com/rust_lang/rust/library/core convert/From,From,src/ristretto.rs,
mul/arithmetic/lemma_mul_strict_inequality,lemma_mul_strict_inequality,src/backend/serial/u64/common_verus.rs,
5.0.0_pre.0 edwards/VartimeEdwardsPrecomputation/VartimePrecomputedMultiscalarMul/new,new,src/edwards.rs,core https:/github.com/rust_lang/rust/library/core collect/traits/iter/IntoIterator; core https:/github.com/rust_lang/rust/library/core borrow/Borrow; 5.0.0_pre.0 backend/VartimePrecomputedStraus/new
5.0.0_pre.0 field/u64/serial/backend/FieldElement51/square2,square2,src/backend/serial/u64/field.rs,5.0.0_pre.0 field/u64/serial/backend/FieldElement51/pow2k
5.0.0_pre.0 edwards/CompressedEdwardsY/Debug/fmt,fmt,src/edwards.rs,5.0.0_pre.0 edwards/CompressedEdwardsY/as_bytes
5.0.0_pre.0 edwards/Neg/neg,neg,src/edwards.rs,core https:/github.com/rust_lang/rust/library/core arith/ops/Neg
5.0.0_pre.0 field_lemmas/u64/serial/backend/c2_0_val,c2_0_val,src/backend/serial/u64/field_lemmas.rs,
5.0.0_pre.0 scalar/u64/serial/backend/Scalar52/as_montgomery,as_montgomery,src/scalar.rs,5.0.0_pre.0 scalar_specs/u64/serial/backend/limbs_bounded; 5.0.0_pre.0 scalar/u64/serial/backend/Scalar52/montgomery_mul; 5.0.0_pre.0 scalar_lemmas/u64/serial/backend/lemma_rr_limbs_bounded; 5.0.0_pre.0 scalar_specs/u64/serial/backend/montgomery_radix; 5.0.0_pre.0 scalar_specs/u64/serial/backend/group_order; 5.0.0_pre.0 scalar_specs/u64/serial/backend/to_nat
5.0.0_pre.0 common_verus/u64/serial/backend/lemma_pow2_square,lemma_pow2_square,src/backend/serial/u64/common_verus.rs,power2/arithmetic/pow2; power/arithmetic/pow; power2/arithmetic/lemma_pow2_unfold; power/arithmetic/lemma_pow_adds
5.0.0_pre.0 edwards/EdwardsPoint/compress_batch,compress_batch,src/edwards.rs,core https:/github.com/rust_lang/rust/library/core slice/iter; core https:/github.com/rust_lang/rust/library/core iterator/traits/iter/Iterator/map; core https:/github.com/rust_lang/rust/library/core iterator/traits/iter/Iterator/zip; 5.0.0_pre.0 affine/edwards/AffinePoint/compress; 5.0.0_pre.0 field/FieldElement51/batch_invert; core https:/github.com/rust_lang/rust/library/core iterator/traits/iter/Iterator/collect
core https:/github.com/rust_lang/rust/library/core iterator/traits/iter/Iterator/by_ref,by_ref,src/backend/serial/scalar_mul/pippenger.rs,
ConditionallyNegatable/conditional_negate,conditional_negate,src/field.rs,
